0,1,2,3,4,5,6,7,8,9,10,11
0367a,0351c,1,1,0,0,0,0,1,2,0,0
1362a,1378c,2,0,0,0,0,1,0,2,0,0
0456b,0456a,2,0,1,1,0,0,0,2,1,1
0577a,1510b,1,0,0,0,0,0,1,1,0,0
1517a,1444a,2,0,0,1,0,1,0,1,0,0
1362a,1236c,2,0,0,2,0,1,0,1,0,0
1254c,0538b,0,0,0,3,0,1,1,0,0,0
1362a,1413b,3,0,0,3,0,1,0,2,0,0
0379b,1309b,1,1,0,3,0,0,0,3,0,0
1391c,0307b,1,1,0,0,0,0,0,1,0,0
0577a,1365a,1,3,0,3,0,1,0,2,0,0
1391c,1489c,0,3,0,0,0,0,0,0,0,0
1386a,1461b,1,1,0,0,0,1,0,3,0,0
1489a,1481c,1,0,0,0,0,1,0,0,0,0
1121a,1475b,1,0,1,0,0,0,0,2,0,0
1229b,0539a,1,3,0,0,0,0,1,0,0,0
1229b,0306a,2,0,0,1,0,0,0,1,0,0
0458a,1504c,2,0,0,0,0,1,1,2,1,0
1454b,1528c,2,0,0,0,0,0,1,0,0,0
1120a,1393c,1,3,0,3,0,0,1,0,0,0
1454b,1416b,0,1,0,3,0,0,0,2,0,0
0577a,1417c,1,0,0,3,0,0,1,1,1,0
0331b,0367a,1,0,0,0,0,0,0,4,0,0
1391c,1039c,0,3,0,0,0,0,2,0,0,0
0458a,1231b,2,1,0,0,0,0,1,1,0,0
1229b,1512b,1,1,0,3,0,0,0,2,0,0
1121a,1096a,0,0,0,2,0,1,0,3,0,0
1386a,1123c,2,3,0,3,0,0,1,1,0,0
1120a,1149a,1,0,0,3,0,1,1,1,0,0
0379b,1413b,3,0,0,0,0,1,0,1,0,0
1489a,1547b,1,1,0,2,0,1,0,2,0,0
0359a,1458a,2,0,0,3,0,0,1,1,0,0
0577a,1497b,0,0,0,0,2,0,1,1,1,0
0565a,1335a,0,0,0,3,0,1,1,0,0,0
1254c,1494b,1,0,0,0,0,1,0,3,0,0
0379b,0307c,2,0,0,1,0,0,2,0,0,0
1121a,1344c,1,0,0,0,0,0,1,3,0,0
